Query,freq,rank
Iphone white,,
redmi 13 blue,,
milk,672763,7
pears,187811,75
water,147614,102
iphone 15,115817,148
mango,106956,161
apple,104255,168
snacks,92650,192
surf excel bar,90173,196
detergent powder,87669,205
iphone 13,77658,237
chocos,73118,258
jio phone,65104,316
fogg,64851,320
mushroom,64679,322
broom,63025,334
soup,56638,384
mobile,56087,387
poco,54002,406
fig,53561,411
colgate toothpaste,48263,484
vivo,47650,494
earbuds,47649,495
smart watch,46997,505
bath soap,45662,523
laptop,43936,544
tomato ketchup,43440,552
pizza base,33987,736
realme,33250,759
rock salt,32042,797
turmeric,31077,832
channa,29960,870
complan,29919,871
dairy milk chocolate,29081,895
mixer grinder,27488,965
oppo k12x,27083,984
mobile phone 5g,25666,1043
bottle,24865,1078
amul cream,24806,1084
chat masala,21678,1240
oil 1 litre,21142,1278
wafers,20758,1293
refined oil 1 l,19636,1353
poco m6 5g,19565,1360
dhania,19402,1372
palm oil,18459,1442
headphones,18280,1462
head and shoulder shampoo,18217,1466
vimbar,17982,1492
kellogs,17828,1511
comfort liquid,17533,1540
cold drinks 2 ltr,16277,1658
horlicks 1kg,16247,1661
one plus mobile,15303,1752
motorola edge 50 fusion,15083,1778
s23,14949,1793
samsung mobile,14464,1854
face mask,13747,1933
toor dal 1 kg,13293,1988
poco m6 pro 5g,13082,2026
airpods,12647,2090
boat airdopes,12604,2094
besan 1kg,12071,2170
chilli sauce,11985,2193
nutrichoice biscuits digestive 1kg,11437,2281
soda 750 ml,11053,2341
cheese block,10892,2378
besan flour 1kg,10768,2405
cold drink sprite,10546,2443
vivo t3x 5g,10388,2489
almonds 1kg,10313,2516
mobile phone,10133,2559
heritage ghee,9805,2634
cashew 500 gm,9737,2645
sandwich,9469,2723
fortune sunflower oil 15 liter,9467,2724
lijjat papad,9412,2738
oil mustard,9307,2765
tajmahal tea,9234,2791
suji 1kg,9131,2824
refined sunflower oil,9040,2848
cashew nuts,8820,2902
sunfeast biscuits,8793,2911
5g mobile phone,8692,2946
buscuit,8648,2961
tomato 1kg,8579,2980
egg 30,8444,3026
adrak,8349,3054
taj mahal tea 1kg,8056,3139
aloe vera gel,7984,3165
power bank 20000mah,7889,3201
redmi 13 5g mobile,7800,3240
kitchen towel,7760,3253
garnier hair colour,7423,3364
rajma chitra,7337,3396
limca 2l,7241,3437
nivea rollon,7127,3491
chandan,7001,3550
peanuts raw,6938,3581
geyser,6791,3645
biscuit family pack,6719,3670
soya bean,6625,3710
red chilli sauce,6618,3711
sugar 5kg madhur,6555,3752
toor dal 2kg,6504,3780
godrej liquid detergent,6426,3826
arhar dal 1kg,6423,3827
motorola mobile,6387,3841
castor oil,6318,3877
hair mask,6250,3923
ariel front load liquid,6041,4034
sprite 250 ml,5884,4120
classmate notebook,5838,4152
keypad mobile,5821,4160
ata 5 kg,5753,4199
fortune atta 10 kg,5593,4287
b natural juice,5570,4301
vicco tooth paste,5422,4399
tv smart,5385,4425
mop stick,5339,4468
wired earphones,5323,4484
tea 1 kg,5304,4501
bluetooth headphone,5270,4525
vaseline lip balm,5159,4621
apple juice,5149,4629
dant kanti toothpaste,5146,4634
kheera,5121,4653
good day biscuits family pack 1kg,5050,4704
redmi 12 5g mobile,5010,4735
oral b,4942,4788
white vinegar,4931,4800
oppo mobile,4912,4816
wheat flour 5kg,4547,5136
ponds moisturiser,4534,5152
50 50 biscuits,4441,5249
parle biscuits,4399,5288
rusk britannia,4377,5305
tv 32,4372,5318
napkins,4306,5384
raw banana,4114,5590
shampoo 1 ltr,4104,5607
bluetooth earphones,4086,5627
cooker 3 litre,4068,5650
32 inch smart tv,4034,5684
act 2 popcorn,3927,5825
pomegranate juice,3888,5873
bay leaf,3865,5904
mixer grinder 750 watts,3755,6059
kishmis,3658,6187
tv 43,3500,6425
pappad,3494,6436
ilachi,3439,6528
good night liquid,3410,6574
maxfresh toothpaste,3295,6788
refined oil 5l,3285,6802
floor cleaner 5l,3150,7048
dhoop batti,3127,7083
himalaya cream,3064,7200
sanitary pads for women stayfree,2977,7357
jasmine oil,2957,7395
chocolate oats,2921,7470
surf excel bar pack of 4,2919,7477
fortune oil 15 liter,2909,7504
perk chocolate,2892,7535
musali,2864,7603
jowar atta,2851,7643
10 kg rice,2836,7677
noise smart watch,2822,7712
moong sabut,2815,7729
loreal hair,2795,7772
basmathi,2766,7848
fem hair removal cream,2736,7925
delmonte ketchup,2721,7962
samsung galaxy,2666,8121
soya badi,2638,8192
penut butter,2583,8323
noodles packets,2574,8346
pickle 1kg,2555,8404
sugar powder,2534,8466
bikaji bhel,2523,8505
hoppup earbuds,2496,8576
amul pure ghee 1 l pouch,2477,8634
garbage bag medium,2365,8998
parachute aloe vera oil,2350,9052
juicer mixer grinder,2332,9112
lux body wash for women,2287,9269
room freshner odonil,2281,9291
ghee 500 ml,2253,9392
antiseptic liquid,2253,9394
hair care oil,2251,9400
dabur gulabari,2187,9647
moisturiser,2135,9851
43 inch smart tv,2135,9852
hair removal spray,2116,9923
pencil cell,2100,9997
ponds white beauty face wash,2095,10021
kashmiri lal mirch,2053,10190
haldiram moong dal namkeen,2048,10215
spaghetti pasta,1910,10807
roasted vermicelli,1832,11187
suger 5 kg,1803,11330
mobile phone under 5000,1733,11700
aftershave lotion,1645,12208
green cardmom,1616,12382
55 inch smart tv,1502,13203
allout refil,1340,14462
party speaker,1256,15290
boat airdopes zing,1132,16570
mixie grinder,1058,17586
headphones wired with mic,869,20590
wheat 10kg,593,27604
infinix smart 8 smartphones,522,30347
apple earphones,221,57604
poco m6 smartphones,32,264803
